iter	Passed	Remaining
604	1878	1226
605	1880	1222
606	1883	1219
607	1885	1215
608	1888	1212
609	1892	1209
610	1894	1206
611	1896	1202
612	1898	1198
613	1902	1195
614	1905	1192
615	1907	1188
616	1909	1185
617	1911	1181
618	1913	1177
619	1917	1175
620	1919	1171
621	1922	1168
622	1925	1165
623	1927	1161
624	1929	1157
625	1932	1154
626	1934	1150
627	1936	1146
628	1938	1143
629	1939	1139
630	1941	1135
631	1945	1132
632	1947	1129
633	1949	1125
634	1951	1121
635	1953	1117
636	1955	1114
637	1957	1110
638	1960	1107
639	1962	1103
640	1964	1100
641	1966	1096
642	1968	1092
643	1970	1089
644	1973	1086
645	1976	1083
646	1979	1079
647	1981	1076
648	1984	1073
649	1987	1070
650	1991	1067
651	1994	1064
652	1996	1060
653	1999	1057
654	2001	1054
655	2003	1050
656	2005	1046
657	2007	1043
658	2009	1039
659	2012	1036
660	2015	1033
661	2017	1029
662	2019	1026
663	2021	1022
664	2023	1019
665	2026	1016
666	2029	1013
667	2032	1010
668	2035	1007
669	2039	1004
670	2041	1000
671	2043	997
672	2046	994
673	2049	991
674	2053	988
675	2056	985
676	2058	982
677	2060	978
678	2063	975
679	2065	972
680	2069	969
681	2072	966
682	2074	962
683	2076	959
684	2077	955
685	2080	952
686	2083	949
687	2085	945
688	2087	942
689	2089	938
690	2091	935
691	2094	932
692	2097	929
693	2098	925
694	2100	921
695	2102	918
696	2104	914
697	2106	911
698	2115	910
699	2117	907
700	2123	905
701	2126	902
702	2129	899
703	2133	897
704	2137	894
705	2141	891
706	2144	888
707	2149	886
708	2153	884
709	2156	880
710	2158	877
711	2161	874
712	2166	872
713	2172	870
714	2174	866
715	2179	864
716	2183	861
717	2185	858
718	2188	855
719	2193	852
720	2197	850
721	2200	847
722	2208	846
723	2211	843
724	2219	841
725	2223	839
726	2235	839
727	2252	841
728	2255	838
729	2257	835
730	2270	835
731	2273	832
732	2281	830
733	2283	827
734	2286	824
735	2288	820
736	2295	819
737	2298	816
738	2301	812
739	2307	810
740	2312	808
741	2315	804
742	2335	807
743	2338	804
744	2341	801
745	2344	798
746	2353	796
747	2366	797
748	2370	794
749	2373	791
750	2383	790
751	2386	787
752	2398	786
753	2401	783
754	2404	780
755	2410	777
756	2412	774
757	2414	770
758	2419	768
759	2423	765
760	2426	762
761	2429	758
762	2437	757
763	2441	754
764	2444	750
765	2451	748
766	2454	745
767	2465	744
768	2468	741
769	2478	740
770	2480	736
771	2492	736
772	2495	732
773	2501	730
774	2514	730
775	2525	729
776	2528	725
777	2537	723
778	2543	721
779	2547	718
780	2555	716
781	2559	713
782	2567	711
783	2570	708
784	2573	704
785	2583	703
786	2586	700
787	2590	696
788	2595	694
789	2602	691
790	2606	688
791	2613	686
792	2616	682
793	2618	679
794	2621	675
795	2626	673
796	2632	670
797	2635	667
798	2639	664
799	2642	660
800	2645	657
801	2653	655
802	2661	652
803	2665	649
804	2669	646
805	2672	643
806	2674	639
807	2679	636
808	2682	633
809	2684	629
810	2687	626
811	2693	623
812	2696	620
813	2699	616
814	2702	613
815	2709	610
816	2711	607
817	2715	604
818	2721	601
819	2725	598
820	2729	595
821	2731	591
822	2739	589
823	2742	585
824	2745	582
825	2750	579
826	2752	575
827	2756	572
828	2759	569
829	2763	566
830	2767	562
831	2770	559
832	2772	555
833	2775	552
834	2780	549
835	2782	545
836	2785	542
837	2788	539
838	2796	536
839	2799	533
840	2801	529
841	2806	526
842	2809	523
843	2811	519
844	2813	516
845	2816	512
846	2821	509
847	2825	506
848	2829	503
849	2836	500
850	2839	497
851	2841	493
852	2844	490
853	2851	487
854	2855	484
855	2858	480
856	2864	478
857	2867	474
858	2869	471
859	2872	467
860	2879	464
861	2882	461
862	2886	458
863	2891	455
864	2893	451
865	2896	448
866	2898	444
867	2900	441
868	2906	438
869	2909	434
870	2912	431
871	2914	427
872	2920	424
873	2923	421
874	2925	417
875	2928	414
876	2931	411
877	2934	407
878	2937	404
879	2940	400
880	2944	397
881	2948	394
882	2950	390
883	2953	387
884	2956	384
885	2960	380
886	2963	377
887	2966	374
888	2968	370
889	2971	367
890	2974	363
891	2979	360
892	2981	357
893	2984	353
894	2988	350
895	2990	347
896	2992	343
897	2998	340
898	3001	337
899	3004	333
900	3007	330
901	3010	327
902	3015	323
903	3018	320
904	3021	317
905	3026	313
906	3028	310
907	3031	307
908	3033	303
909	3035	300
910	3039	296
911	3042	293
912	3047	290
913	3050	287
914	3055	283
915	3058	280
916	3061	277
917	3064	273
918	3069	270
919	3072	267
920	3074	263
921	3076	260
922	3080	256
923	3083	253
924	3085	250
925	3087	246
926	3091	243
927	3101	240
928	3104	237
929	3111	234
930	3114	230
931	3117	227
932	3120	224
933	3124	220
934	3126	217
935	3128	213
936	3131	210
937	3133	207
938	3138	203
939	3141	200
940	3143	197
941	3146	193
942	3151	190
943	3155	187
944	3158	183
945	3161	180
946	3165	177
947	3168	173
948	3171	170
949	3174	167
950	3181	163
951	3183	160
952	3187	157
953	3192	153
954	3195	150
955	3198	147
956	3201	143
957	3203	140
958	3208	137
959	3211	133
960	3213	130
961	3215	127
962	3218	123
963	3221	120
964	3224	116
965	3227	113
966	3240	110
967	3243	107
968	3248	103
969	3253	100
970	3255	97
971	3266	94
972	3271	90
973	3274	87
974	3278	84
975	3281	80
976	3284	77
977	3286	73
978	3288	70
979	3292	67
980	3295	63
981	3298	60
982	3301	57
983	3304	53
984	3307	50
985	3309	46
986	3312	43
